Size of array |  Time of one thread sort, ms | Time of parallel sort, ms
40800 | 18485 | 3191
40900 | 17899 | 3416
41000 | 18335 | 3329
41100 | 18128 | 3279
41200 | 19217 | 2904
41300 | 18729 | 3265
41400 | 18673 | 4245
41500 | 19090 | 4328
41600 | 18165 | 4200
41700 | 19469 | 3570
41800 | 18799 | 3969
41900 | 18893 | 4195
42000 | 18932 | 3845
42100 | 19291 | 3919
42200 | 18589 | 3351
42300 | 19129 | 3980
42400 | 19672 | 4198
42500 | 19327 | 3600
42600 | 17889 | 3567
42700 | 19048 | 3726
42800 | 19731 | 4137
42900 | 20176 | 3904
43000 | 19337 | 3675
43100 | 19767 | 3914
43200 | 19827 | 4043
43300 | 20070 | 3870
43400 | 19687 | 4026
43500 | 19313 | 3311
43600 | 19264 | 4055
43700 | 20527 | 3537
43800 | 20250 | 3519
43900 | 19889 | 3876
44000 | 20366 | 4350
44100 | 21043 | 3485
44200 | 19400 | 4092
44300 | 19594 | 4085
44400 | 19517 | 4056
44500 | 20421 | 4182
44600 | 20384 | 4050
44700 | 20383 | 4350
44800 | 20614 | 4144
44900 | 20313 | 4085
45000 | 20682 | 4944
45100 | 21293 | 6142
45200 | 21759 | 5120
45300 | 20413 | 4843
45400 | 20308 | 4695
45500 | 21142 | 4792
45600 | 20713 | 4853
45700 | 20326 | 4775
45800 | 22672 | 4820
45900 | 21551 | 4804
46000 | 20651 | 5469
46100 | 21353 | 4934
46200 | 21608 | 4862
46300 | 20787 | 5540
46400 | 22079 | 5245
46500 | 22050 | 5793
46600 | 21435 | 5244
46700 | 21994 | 4830
46800 | 22008 | 4945
46900 | 21410 | 4958
47000 | 22552 | 5296
47100 | 21594 | 6082
47200 | 21629 | 5838
47300 | 21434 | 4990
47400 | 21572 | 6337
47500 | 21804 | 5115
47600 | 21922 | 6783
47700 | 22532 | 5077
47800 | 22014 | 5306
47900 | 21371 | 5177
48000 | 21420 | 5481
48100 | 20937 | 5312
48200 | 22522 | 5762
48300 | 22614 | 5210
48400 | 21800 | 5486
48500 | 22249 | 5631
48600 | 21342 | 5191
48700 | 22666 | 7426
48800 | 23808 | 11935
48900 | 22946 | 7216
49000 | 22268 | 6359
49100 | 22807 | 5857
49200 | 23385 | 6965
49300 | 22884 | 5787
49400 | 25141 | 6041
49500 | 23610 | 5270
49600 | 22607 | 5332
49700 | 22465 | 5657
49800 | 22834 | 5430
49900 | 22876 | 5876
50000 | 23678 | 5208
50100 | 22891 | 5426
50200 | 23105 | 5202
50300 | 22450 | 5231
50400 | 23646 | 5106
50500 | 23014 | 6377
50600 | 22866 | 5223
50700 | 23156 | 5265
50800 | 23075 | 5551
50900 | 23227 | 5419
51000 | 22484 | 5184
51100 | 23313 | 5647
51200 | 23518 | 5570
51300 | 23320 | 5806
51400 | 23018 | 5778
51500 | 23609 | 5663
51600 | 23231 | 5427
51700 | 24705 | 5600
51800 | 23934 | 5795
51900 | 22999 | 5231
52000 | 23781 | 5791
52100 | 23916 | 5889
52200 | 23843 | 5729
52300 | 26178 | 6196
52400 | 23908 | 5542
52500 | 24913 | 6392
52600 | 24442 | 6518
52700 | 24360 | 6904
52800 | 24817 | 8965
52900 | 25471 | 5928
53000 | 23379 | 6234
53100 | 24835 | 5696
53200 | 23749 | 5740
53300 | 24142 | 5625
53400 | 25419 | 6844
53500 | 24776 | 5604
53600 | 24361 | 6048
53700 | 25106 | 6099
53800 | 24965 | 5335
53900 | 24504 | 5638
54000 | 25426 | 7165
54100 | 25734 | 6358
54200 | 24556 | 6883
54300 | 24503 | 7181
54400 | 26464 | 10875
54500 | 25257 | 6233
54600 | 24300 | 5670
54700 | 25184 | 6255
54800 | 25118 | 5604
54900 | 24598 | 6237
55000 | 25245 | 6295
55100 | 25633 | 5961
55200 | 25280 | 5774
55300 | 25295 | 7297
55400 | 25034 | 6260
55500 | 28743 | 7816
55600 | 25821 | 5750
55700 | 27181 | 5857
55800 | 25339 | 6390
55900 | 28082 | 6048
56000 | 27522 | 5658
56100 | 26382 | 5771
56200 | 25631 | 6194
56300 | 26603 | 5810
56400 | 24900 | 5955
56500 | 27918 | 6324
56600 | 26220 | 6100
56700 | 25779 | 5849
56800 | 27588 | 5977
56900 | 26672 | 6429
57000 | 28502 | 6862
57100 | 27510 | 12216
57200 | 26194 | 6311
57300 | 26326 | 5961
57400 | 27660 | 5384
57500 | 30216 | 6056
57600 | 26491 | 5179
57700 | 28151 | 7948
57800 | 26066 | 6396
57900 | 26458 | 6296
58000 | 30070 | 6340
58100 | 27087 | 6004
58200 | 26740 | 6261
58300 | 27125 | 7803
58400 | 27217 | 9046
58500 | 33802 | 6184
58600 | 26570 | 6086
58700 | 26895 | 6207
58800 | 28128 | 6271
58900 | 26450 | 6882
59000 | 30822 | 6690
59100 | 27355 | 6220
59200 | 27981 | 6482
59300 | 27455 | 7449
59400 | 28054 | 11138
59500 | 32735 | 10035
59600 | 32627 | 8711
59700 | 32164 | 10772
59800 | 27688 | 7077
59900 | 28218 | 6460
60000 | 28536 | 7944
60100 | 28544 | 6981
60200 | 27649 | 8376
60300 | 30827 | 7491
60400 | 31333 | 7546
60500 | 28762 | 6825
60600 | 27755 | 10528
60700 | 35320 | 8683
60800 | 46759 | 9880
60900 | 28638 | 6412
61000 | 32554 | 8019
61100 | 38954 | 9347
61200 | 32269 | 8280
61300 | 33034 | 6194
61400 | 29685 | 6391
61500 | 28496 | 5740
61600 | 28981 | 6926
61700 | 29617 | 6132
61800 | 29089 | 7510
61900 | 32777 | 9993
62000 | 31360 | 8840
62100 | 35653 | 8655
62200 | 28831 | 7595
62300 | 29305 | 6798
62400 | 30147 | 6795
62500 | 34562 | 7936
62600 | 30384 | 6066
62700 | 29974 | 6634
62800 | 29777 | 7164
62900 | 31766 | 6876
63000 | 30692 | 6480
63100 | 29690 | 6472
63200 | 30959 | 7800
63300 | 30735 | 9841
63400 | 38820 | 6437
63500 | 30418 | 8583
63600 | 30572 | 7465
63700 | 29606 | 8492
63800 | 32158 | 8569
63900 | 32378 | 6750
64000 | 32828 | 8986
64100 | 29595 | 12841
64200 | 31542 | 8489
64300 | 30369 | 6935
64400 | 30681 | 6714
64500 | 29790 | 8520
64600 | 29900 | 7652
64700 | 29779 | 6925
64800 | 29192 | 6995
64900 | 31092 | 6265
65000 | 30637 | 6783
65100 | 31319 | 7818
65200 | 29561 | 6621
65300 | 30942 | 7654
65400 | 30438 | 6516
65500 | 30111 | 6796
65600 | 33431 | 8578
65700 | 32739 | 7003
65800 | 35075 | 7282
65900 | 34587 | 7413
66000 | 32482 | 9650
66100 | 30853 | 6728
66200 | 30333 | 6849
66300 | 30287 | 6641
66400 | 31390 | 6753
66500 | 30497 | 6995
66600 | 30181 | 6470
66700 | 30435 | 7913
66800 | 30498 | 11836
66900 | 41277 | 9673
67000 | 31918 | 7143
67100 | 31256 | 8477
67200 | 32947 | 7452
67300 | 36927 | 7823
67400 | 30850 | 7698
67500 | 30764 | 7278
67600 | 32240 | 7673
67700 | 34409 | 7220
67800 | 34019 | 11098
67900 | 33271 | 9383
68000 | 34384 | 7699
68100 | 34818 | 7632
68200 | 32074 | 7827
68300 | 31335 | 7021
68400 | 31108 | 8869
68500 | 36918 | 7231
68600 | 31937 | 8281
68700 | 32584 | 7279
68800 | 30841 | 8970
68900 | 44251 | 9734
69000 | 32440 | 7679
69100 | 31619 | 7136
69200 | 32434 | 8046
69300 | 32205 | 7078
69400 | 33054 | 7678
69500 | 33062 | 6792
69600 | 33004 | 7115
69700 | 34533 | 6666
69800 | 33892 | 6713
69900 | 32050 | 7063
70000 | 31990 | 7005
70100 | 32461 | 11587
70200 | 38057 | 12293
70300 | 35410 | 7407
70400 | 34116 | 7679
70500 | 36230 | 10216
70600 | 33696 | 7327
70700 | 32636 | 6850
70800 | 32863 | 6587
70900 | 35766 | 9265
71000 | 33049 | 7821
71100 | 34104 | 6079
71200 | 33816 | 6906
71300 | 32789 | 6306
71400 | 34770 | 7141
71500 | 33364 | 6784
71600 | 33912 | 10686
71700 | 41636 | 16951
71800 | 35079 | 7782
71900 | 36172 | 7509
72000 | 34604 | 9146
72100 | 35670 | 7580
72200 | 34358 | 7171
72300 | 34181 | 7386
72400 | 33148 | 7388
72500 | 34670 | 7546
72600 | 33971 | 7998
72700 | 36961 | 9087
72800 | 33341 | 8810
72900 | 34680 | 7715
73000 | 34735 | 7537
73100 | 34104 | 7406
73200 | 33747 | 7995
73300 | 37186 | 6564
73400 | 34545 | 7723
73500 | 36571 | 13616
73600 | 39906 | 15702
73700 | 39081 | 7979
73800 | 35269 | 8322
73900 | 35210 | 8260
74000 | 46731 | 6828
74100 | 34860 | 7161
74200 | 36982 | 8592
74300 | 36507 | 7994
74400 | 35302 | 7217
74500 | 35038 | 7529
74600 | 36106 | 14537
74700 | 43051 | 13631
74800 | 37152 | 8809
74900 | 36049 | 11071
75000 | 35529 | 8471
75100 | 35093 | 8283
75200 | 35968 | 10304
75300 | 36107 | 7760
75400 | 35567 | 7396
75500 | 34922 | 7767
75600 | 36141 | 8000
75700 | 39790 | 7894
75800 | 35799 | 10001
75900 | 37068 | 8019
76000 | 36019 | 8013
76100 | 34835 | 8517
76200 | 37127 | 8276
76300 | 35765 | 7687
76400 | 35570 | 8125
76500 | 34918 | 7961
76600 | 39830 | 8058
76700 | 35987 | 7809
76800 | 36106 | 7092
76900 | 35924 | 7331
77000 | 36170 | 7920
77100 | 35151 | 7227
77200 | 36776 | 10702
77300 | 37609 | 14622
77400 | 36224 | 8231
77500 | 40761 | 15927
77600 | 36519 | 8218
77700 | 38872 | 8155
77800 | 36762 | 8507
77900 | 37017 | 7303
78000 | 37479 | 7825
78100 | 35882 | 8064
78200 | 37454 | 11860
78300 | 38499 | 12883
78400 | 39503 | 10821
78500 | 37284 | 10761
78600 | 37474 | 8193
78700 | 37667 | 8458
78800 | 36197 | 9109
78900 | 37594 | 8208
79000 | 37007 | 8680
79100 | 37464 | 7816
79200 | 37000 | 8896
79300 | 37611 | 12084
79400 | 37176 | 12394
79500 | 38149 | 9420
79600 | 36345 | 9331
79700 | 36198 | 9038
79800 | 37578 | 9816
79900 | 37961 | 8591
80000 | 37011 | 9003
80100 | 38489 | 8416
80200 | 38278 | 8081
80300 | 36477 | 7282
80400 | 37409 | 8951
80500 | 39052 | 12736
80600 | 39442 | 13650
80700 | 38494 | 14269
80800 | 38552 | 9726
80900 | 39038 | 9033
81000 | 38143 | 8937
81100 | 39372 | 8717
81200 | 38678 | 10500
81300 | 39278 | 7750
81400 | 38059 | 9245
81500 | 39385 | 6311
81600 | 38632 | 7282
81700 | 37990 | 6615
81800 | 37547 | 6314
81900 | 38578 | 6549
82000 | 38480 | 8814
82100 | 37669 | 9217
82200 | 36802 | 9236
82300 | 38044 | 9886
82400 | 37936 | 8407
82500 | 38555 | 9345
82600 | 37827 | 7957
82700 | 39132 | 8225
82800 | 39469 | 9496
82900 | 39773 | 12940
83000 | 39830 | 14575
83100 | 38902 | 9766
83200 | 39306 | 9972
83300 | 39067 | 9397
83400 | 40364 | 9784
83500 | 39736 | 9297
83600 | 40494 | 9645
83700 | 41307 | 10123
83800 | 39704 | 8637
83900 | 41567 | 8854
84000 | 40472 | 9150
84100 | 41316 | 9735
84200 | 38631 | 13757
84300 | 40476 | 12930
84400 | 41755 | 11172
84500 | 40541 | 9701
84600 | 39046 | 10135
84700 | 40710 | 13337
84800 | 40785 | 9198
84900 | 39923 | 9759
85000 | 39841 | 8962
85100 | 39270 | 10073
85200 | 39489 | 10016
85300 | 41527 | 13240
85400 | 45874 | 15258
85500 | 39684 | 11368
85600 | 41076 | 10331
85700 | 40945 | 10741
85800 | 40987 | 9011
85900 | 40836 | 9544
86000 | 41101 | 9326
86100 | 42045 | 9616
86200 | 40725 | 15386
